prime_word,target_word,TargetAccuracy,RTRecogniseTarget
FANCY,FRIENDLY,1,3668
FARMER,TULIP,1,2149
FAT,HEAVY,1,1744
FAULT,FELT,1,2744
FEED,FAMINE,1,3437
FIN,ZUCCHINI,1,4803
FIREMAN,LID,1,1796
FIST,HOSTILITY,1,5242
FLASK,CHAMPAGNE,1,2435
FOLD,BOOKBAG,1,1552
FOOLISH,STRIVE,1,2078
FORM,MESSAGE,1,2942
FRIENDLINES,FACE,1,1578
FRIGID,SPEAKER,1,2166
FRISK,THIEF,1,2301
GALAXY,SPACE,1,2128
GAMBLE,LOAF,1,1699
GHOUL,COMPASSION,1,2860
CONVENT,REPUBLICAN,1,1833
GOODS,PLAZA,1,2919
GRAFT,WRITE,1,2667
GROOM,FEMALE,1,1858
GUIDE,ORDINARY,1,1972
GUY,HORMONES,1,2788
HARBOR,SAILOR,1,2498
HAT,KITTEN,0,2091
HEIGHTS,TIMID,1,2759
HER,CHASE,1,2942
HIGH,TRUCK,1,1358
HOBO,PENNY,1,2201
HOLD,DROP,1,2806
HOOK,DIAMOND,1,1700
HORROR,ARIGHT,1,4344
HUNGRY,RIBS,1,1915
INCOME,EMPLOYER,1,2385
INJECTION,ALLERGY,1,3130
INSTRUCT,BRITANNICA,1,5229
INSTRUMENT,CRUDE,1,2624
IVY,FACTS,1,2952
JOKER,COMMERCIAL,1,1998
JOURNAL,MEDIA,1,2201
JOURNEY,DISPERSE,1,3280
JOY,RODENT,1,2179
JUICE,BANANA,1,1343
LADDER,PREJUDICE,1,2364
LAUNDRY,WASH,1,542
LESS,LOTS,1,1811
LESSON,ASSOCIATE,1,3252
LIBEL,GOVERNOR,1,2117
LUCK,CREW,1,2099
LUNCH,FRAGRANCE,1,3427
MACHINE,RELAX,1,2595
MAILBOX,BANK,1,2881
MALL,QUARTER,1,2470
MAYBE,SILVERWARE,1,5864
MEAL,CAFETERIA,1,3382
MEASURE,SINCE,1,3126
MEEK,VULNERABLE,1,2666
MILE,HALL,1,1792
MINTS,DELICIOUS,1,2344
MIX,RASPBERRY,1,1361
MORTGAGE,OWE,1,1952
MUSHROOM,PEAS,1,1296
MUSIC,KEYBOARD,1,3492
NINE,TELLER,1,1843
NOISY,DOZE,1,1809
NUT,HITCH,1,2603
CHILDREN,SHE,1,2164
OMELET,BREAD,1,1655
ONION,MASH,1,1404
OXYGEN,NITROGEN,1,3184
PAD,CANVASS,1,1645
PADDY,SLEIGH,1,2631
PAL,WOMAN,1,2271
PANCAKES,BUN,1,1553
PANE,CLINIC,1,3441
PARADE,CARNIVAL,1,2373
PARAGRAPH,NOTEBOOK,1,2350
PEBBLE,BOND,1,2156
PEPSI,PANTYHOSE,1,2683
PIGEON,BLUEJAY,1,2420
PLANT,MEADOW,1,3100
PLEDGE,CLOTHES,1,2281
POCKET,TONIC,1,3329
POLYESTER,BUREAU,1,2411
POP,DRIVER,1,2316
PORK,CLUMSY,1,1769
POT,BLOOM,1,1125
POUND,FILE,1,1704
PRESIDENT,INTEGRITY,1,5854
PRODUCE,ORCHARD,1,2873
PRODUCTION,RIDICULOUS,1,3812
PROSECUTE,LAWYER,1,1833
PROTEIN,PIECES,1,3209
PROVISION,STANDARDS,1,4728
PUFF,TIGER,1,1306
QUARREL,COPIER,1,2932
RECIPE,SAMPLE,1,2302
RECREATION,OUTDOORS,1,1750
REPRESS,AFTERNOON,1,2593
ROAD,CAB,1,1287
ROOT,SPATULA,1,2221
RYE,BUTTER,1,1275
SALES,ANTELOPE,0,518
SCARED,DISGUST,1,1110
SCHEDULE,DIGIT,1,4488
SCRAMBLE,HORRIBLE,1,2747
SCRATCH,ARMOR,1,1731
SELLER,OWNER,1,1794
SENTRY,OVERVIEW,1,3442
SERPENT,SUEDE,1,2725
SEVERAL,THINGS,1,2859
SEX,GENDER,1,2277
SHATTER,IMPACT,1,1887
SHEEP,BUCK,1,1347
SHEETS,SACK,1,2650
SHOE,LAP,1,1291
SHOOTING,TRIGGER,1,2223
SICK,STEEL,1,2275
SIDEWALK,CORK,1,3615
QUIT,BLOSSOM,1,3853
SLAY,NUCLEAR,1,1561
SLEEPY,NEW,1,1383
